State,Year,StateMW2022,FedMW2022
North Dakota,1995,8.15,8.15
Ohio,1995,8.15,8.15
Oklahoma,1995,8.15,8.15
Pennsylvania,1995,8.15,8.15
South Dakota,1995,8.15,8.15
Utah,1995,8.15,8.15
Vermont,1995,8.15,8.15
Virginia,1995,8.15,8.15
Washington,1995,8.15,8.15
West Virginia,1995,8.15,8.15
Wisconsin,1995,8.15,8.15
Indiana,1995,6.44,8.15
Michigan,1995,6.44,8.15
Texas,1995,6.44,8.15
Georgia,1995,6.24,8.15
Colorado,1995,5.76,8.15
Kansas,1995,5.09,8.15
Wyoming,1995,3.08,8.15
Puerto Rico,1995,2.31,8.15
Arizona,1995,0.00,8.15
Alabama,1995,0.00,8.15
Florida,1995,0.00,8.15
Louisiana,1995,0.00,8.15
Mississippi,1995,0.00,8.15
South Carolina,1995,0.00,8.15
Tennessee,1995,0.00,8.15
District of Columbia,1996,9.78,7.93
Hawaii,1996,9.78,7.93
New Jersey,1996,9.42,7.93
Washington,1996,9.14,7.93
Alaska,1996,8.86,7.93
Massachusetts,1996,8.86,7.93
Oregon,1996,8.86,7.93
Vermont,1996,8.86,7.93
Delaware,1996,8.67,7.93
Iowa,1996,8.67,7.93
Rhode Island,1996,8.30,7.93
Connecticut,1996,7.96,7.93
Arkansas,1996,7.93,7.93
California,1996,7.93,7.93
Idaho,1996,7.93,7.93
Illinois,1996,7.93,7.93
Kentucky,1996,7.93,7.93
Maine,1996,7.93,7.93
Maryland,1996,7.93,7.93
Minnesota,1996,7.93,7.93
Missouri,1996,7.93,7.93
Montana,1996,7.93,7.93
Nebraska,1996,7.93,7.93
Nevada,1996,7.93,7.93
New Hampshire,1996,7.93,7.93
New Mexico,1996,7.93,7.93
New York,1996,7.93,7.93
North Carolina,1996,7.93,7.93
North Dakota,1996,7.93,7.93
Ohio,1996,7.93,7.93
Oklahoma,1996,7.93,7.93
Pennsylvania,1996,7.93,7.93
South Dakota,1996,7.93,7.93
Utah,1996,7.93,7.93
Virginia,1996,7.93,7.93
West Virginia,1996,7.93,7.93
Wisconsin,1996,7.93,7.93
Indiana,1996,6.24,7.93
Michigan,1996,6.24,7.93
Texas,1996,6.24,7.93
Georgia,1996,6.06,7.93
Colorado,1996,5.60,7.93
Kansas,1996,4.94,7.93
Wyoming,1996,2.99,7.93
Puerto Rico,1996,2.24,7.93
Arizona,1996,0.00,7.93
Alabama,1996,0.00,7.93
Florida,1996,0.00,7.93
Louisiana,1996,0.00,7.93
Mississippi,1996,0.00,7.93
South Carolina,1996,0.00,7.93
Tennessee,1996,0.00,7.93
District of Columbia,1997,10.48,8.66
Oregon,1997,10.02,8.66
Alaska,1997,9.57,8.66
Hawaii,1997,9.57,8.66
Massachusetts,1997,9.57,8.66
Rhode Island,1997,9.39,8.66
New Jersey,1997,9.21,8.66
Delaware,1997,9.12,8.66
Vermont,1997,9.12,8.66
Washington,1997,8.93,8.66
Connecticut,1997,8.70,8.66
California,1997,8.66,8.66
Colorado,1997,8.66,8.66
Illinois,1997,8.66,8.66
Iowa,1997,8.66,8.66
Maine,1997,8.66,8.66
Maryland,1997,8.66,8.66
Missouri,1997,8.66,8.66
Montana,1997,8.66,8.66
Nevada,1997,8.66,8.66
New Hampshire,1997,8.66,8.66
North Dakota,1997,8.66,8.66
Oklahoma,1997,8.66,8.66
Pennsylvania,1997,8.66,8.66
Utah,1997,8.66,8.66
Virginia,1997,8.66,8.66
Wisconsin,1997,8.66,8.66
Arkansas,1997,7.75,8.66
Idaho,1997,7.75,8.66
Kentucky,1997,7.75,8.66
Minnesota,1997,7.75,8.66
Nebraska,1997,7.75,8.66
New Mexico,1997,7.75,8.66
New York,1997,7.75,8.66
North Carolina,1997,7.75,8.66
Ohio,1997,7.75,8.66
South Dakota,1997,7.75,8.66
West Virginia,1997,7.75,8.66
Indiana,1997,6.11,8.66
Michigan,1997,6.11,8.66
Texas,1997,6.11,8.66
Georgia,1997,5.93,8.66
Kansas,1997,4.83,8.66
Wyoming,1997,2.92,8.66
Puerto Rico,1997,2.18,8.66
Arizona,1997,0.00,8.66
Alabama,1997,0.00,8.66
Florida,1997,0.00,8.66
Louisiana,1997,0.00,8.66
Mississippi,1997,0.00,8.66
South Carolina,1997,0.00,8.66
Tennessee,1997,0.00,8.66
District of Columbia,1998,11.04,9.24
Oregon,1998,10.77,9.24
Alaska,1998,10.15,9.24
Hawaii,1998,9.42,9.24
Massachusetts,1998,9.42,9.24
Vermont,1998,9.42,9.24
Connecticut,1998,9.30,9.24
Arkansas,1998,9.24,9.24
California,1998,9.24,9.24
Colorado,1998,9.24,9.24
Delaware,1998,9.24,9.24
Idaho,1998,9.24,9.24
Illinois,1998,9.24,9.24
Iowa,1998,9.24,9.24
Maine,1998,9.24,9.24
Maryland,1998,9.24,9.24
Michigan,1998,9.24,9.24
Minnesota,1998,9.24,9.24
Missouri,1998,9.24,9.24
Montana,1998,9.24,9.24
Nebraska,1998,9.24,9.24
Nevada,1998,9.24,9.24
New Hampshire,1998,9.24,9.24
North Carolina,1998,9.24,9.24
North Dakota,1998,9.24,9.24
Oklahoma,1998,9.24,9.24
Pennsylvania,1998,9.24,9.24
Rhode Island,1998,9.24,9.24
South Dakota,1998,9.24,9.24
Utah,1998,9.24,9.24
Virginia,1998,9.24,9.24
Wisconsin,1998,9.24,9.24
New Jersey,1998,9.06,9.24
Washington,1998,8.80,9.24
West Virginia,1998,8.53,9.24
Kentucky,1998,7.62,9.24
New Mexico,1998,7.62,9.24
New York,1998,7.62,9.24
Ohio,1998,7.62,9.24
Indiana,1998,6.02,9.24
Texas,1998,6.02,9.24
Georgia,1998,5.84,9.24
Kansas,1998,4.76,9.24
Wyoming,1998,2.87,9.24
Puerto Rico,1998,2.15,9.24
Arizona,1998,0.00,9.24
Alabama,1998,0.00,9.24
Florida,1998,0.00,9.24
Louisiana,1998,0.00,9.24
Mississippi,1998,0.00,9.24
South Carolina,1998,0.00,9.24
Tennessee,1998,0.00,9.24
Alabama,1999,0.00,9.05
Alaska,1999,9.92,9.05
Arkansas,1999,9.05,9.05
California,1999,9.05,9.05
Colorado,1999,9.05,9.05
Connecticut,1999,9.09,9.05
Delaware,1999,9.05,9.05
District of Columbia,1999,10.80,9.05
Florida,1999,0.00,9.05
Georgia,1999,5.71,9.05
Hawaii,1999,9.22,9.05
Idaho,1999,9.05,9.05
Illinois,1999,9.05,9.05
Indiana,1999,5.88,9.05
Iowa,1999,9.05,9.05
Kansas,1999,4.65,9.05
Kentucky,1999,7.46,9.05
Louisiana,1999,0.00,9.05
Maine,1999,9.05,9.05
Maryland,1999,9.05,9.05
Massachusetts,1999,9.22,9.05
Michigan,1999,9.05,9.05
Minnesota,1999,9.05,9.05
Mississippi,1999,0.00,9.05
Missouri,1999,9.05,9.05
Montana,1999,9.05,9.05
Nebraska,1999,9.05,9.05
Nevada,1999,9.05,9.05
New Hampshire,1999,9.05,9.05
New Jersey,1999,8.87,9.05
New Mexico,1999,7.46,9.05
New York,1999,7.46,9.05
North Carolina,1999,9.05,9.05
North Dakota,1999,9.05,9.05
Ohio,1999,7.46,9.05
Oklahoma,1999,9.05,9.05
Oregon,1999,10.54,9.05
Pennsylvania,1999,9.05,9.05
Puerto Rico,1999,2.10,9.05
Rhode Island,1999,9.05,9.05
South Carolina,1999,0.00,9.05
South Dakota,1999,9.05,9.05
Tennessee,1999,0.00,9.05
Texas,1999,5.88,9.05
Arizona,1999,0.00,9.05
Utah,1999,9.05,9.05
Vermont,1999,9.22,9.05
Virginia,1999,9.05,9.05
Washington,1999,8.61,9.05
West Virginia,1999,8.34,9.05
Wisconsin,1999,9.05,9.05
Wyoming,1999,2.80,9.05
Oregon,2000,11.04,8.75
Washington,2000,11.04,8.75
Connecticut,2000,10.45,8.75
District of Columbia,2000,10.45,8.75
Massachusetts,2000,10.19,8.75
California,2000,9.77,8.75
Vermont,2000,9.77,8.75
Alaska,2000,9.60,8.75
Delaware,2000,9.60,8.75
Rhode Island,2000,9.60,8.75
Hawaii,2000,8.92,8.75
Arkansas,2000,8.75,8.75
Colorado,2000,8.75,8.75
Idaho,2000,8.75,8.75
Illinois,2000,8.75,8.75
Indiana,2000,8.75,8.75
Iowa,2000,8.75,8.75
Kentucky,2000,8.75,8.75
Maine,2000,8.75,8.75
Maryland,2000,8.75,8.75
Michigan,2000,8.75,8.75
Missouri,2000,8.75,8.75
Nebraska,2000,8.75,8.75
Nevada,2000,8.75,8.75
New Hampshire,2000,8.75,8.75
New Jersey,2000,8.75,8.75
North Carolina,2000,8.75,8.75
North Dakota,2000,8.75,8.75
Pennsylvania,2000,8.75,8.75
South Dakota,2000,8.75,8.75
Utah,2000,8.75,8.75
Virginia,2000,8.75,8.75
West Virginia,2000,8.75,8.75
Wisconsin,2000,8.75,8.75
Minnesota,2000,8.32,8.75
New Mexico,2000,7.22,8.75
New York,2000,7.22,8.75
Montana,2000,6.80,8.75
Puerto Rico,2000,6.13,8.75
Texas,2000,5.69,8.75
Georgia,2000,5.52,8.75
Ohio,2000,4.76,8.75
Kansas,2000,4.50,8.75
Oklahoma,2000,3.39,8.75
Wyoming,2000,2.71,8.75
Arizona,2000,0.00,8.75
Alabama,2000,0.00,8.75
Florida,2000,0.00,8.75
Louisiana,2000,0.00,8.75
Mississippi,2000,0.00,8.75
South Carolina,2000,0.00,8.75
Tennessee,2000,0.00,8.75
Massachusetts,2001,11.15,8.51
Washington,2001,11.10,8.51
Oregon,2001,10.73,8.51
Connecticut,2001,10.57,8.51
California,2001,10.33,8.51
Vermont,2001,10.33,8.51
Delaware,2001,10.16,8.51
District of Columbia,2001,10.16,8.51
Rhode Island,2001,10.16,8.51
Alaska,2001,9.33,8.51
Hawaii,2001,8.67,8.51
Arkansas,2001,8.51,8.51
Colorado,2001,8.51,8.51
Idaho,2001,8.51,8.51
Illinois,2001,8.51,8.51
Indiana,2001,8.51,8.51
Iowa,2001,8.51,8.51
Kentucky,2001,8.51,8.51
Maine,2001,8.51,8.51
Maryland,2001,8.51,8.51
Michigan,2001,8.51,8.51
Missouri,2001,8.51,8.51
Nebraska,2001,8.51,8.51
Nevada,2001,8.51,8.51
New Hampshire,2001,8.51,8.51
New Jersey,2001,8.51,8.51
New York,2001,8.51,8.51
North Carolina,2001,8.51,8.51
North Dakota,2001,8.51,8.51
Pennsylvania,2001,8.51,8.51
South Dakota,2001,8.51,8.51
Utah,2001,8.51,8.51
Virginia,2001,8.51,8.51
West Virginia,2001,8.51,8.51
Wisconsin,2001,8.51,8.51
Minnesota,2001,8.10,8.51
New Mexico,2001,7.02,8.51
Montana,2001,6.61,8.51
Puerto Rico,2001,5.96,8.51
Texas,2001,5.53,8.51
Georgia,2001,5.37,8.51
Ohio,2001,4.63,8.51
Kansas,2001,4.38,8.51
Oklahoma,2001,3.30,8.51
Wyoming,2001,2.65,8.51
Arizona,2001,0.00,8.51
Alabama,2001,0.00,8.51
Florida,2001,0.00,8.51
Louisiana,2001,0.00,8.51
Mississippi,2001,0.00,8.51
South Carolina,2001,0.00,8.51
Tennessee,2001,0.00,8.51
Washington,2002,11.22,8.37
California,2002,10.98,8.37
Massachusetts,2002,10.98,8.37
Connecticut,2002,10.89,8.37
Oregon,2002,10.57,8.37
Vermont,2002,10.17,8.37
Delaware,2002,10.00,8.37
District of Columbia,2002,10.00,8.37
Rhode Island,2002,10.00,8.37
Hawaii,2002,9.35,8.37
Maine,2002,9.35,8.37
Alaska,2002,9.18,8.37
Arkansas,2002,8.37,8.37
Colorado,2002,8.37,8.37
Georgia,2002,8.37,8.37
Idaho,2002,8.37,8.37
Illinois,2002,8.37,8.37
Indiana,2002,8.37,8.37
Iowa,2002,8.37,8.37
Kentucky,2002,8.37,8.37
Maryland,2002,8.37,8.37
Michigan,2002,8.37,8.37
Missouri,2002,8.37,8.37
Nebraska,2002,8.37,8.37
Nevada,2002,8.37,8.37
New Hampshire,2002,8.37,8.37
New Jersey,2002,8.37,8.37
New York,2002,8.37,8.37
North Carolina,2002,8.37,8.37
North Dakota,2002,8.37,8.37
Pennsylvania,2002,8.37,8.37
South Dakota,2002,8.37,8.37
Texas,2002,8.37,8.37
Utah,2002,8.37,8.37
Virginia,2002,8.37,8.37
West Virginia,2002,8.37,8.37
Wisconsin,2002,8.37,8.37
Wyoming,2002,8.37,8.37
Minnesota,2002,7.97,8.37
New Mexico,2002,6.91,8.37
Montana,2002,6.50,8.37
Puerto Rico,2002,5.87,8.37
Ohio,2002,4.56,8.37
Kansas,2002,4.31,8.37
Oklahoma,2002,3.26,8.37
Arizona,2002,0.00,8.37
Alabama,2002,0.00,8.37
Florida,2002,0.00,8.37
Louisiana,2002,0.00,8.37
Mississippi,2002,0.00,8.37
South Carolina,2002,0.00,8.37
Tennessee,2002,0.00,8.37
Alaska,2003,11.37,8.19
Washington,2003,11.14,8.19
Connecticut,2003,10.97,8.19
Oregon,2003,10.97,8.19
California,2003,10.73,8.19
Massachusetts,2003,10.73,8.19
Hawaii,2003,9.94,8.19
Maine,2003,9.94,8.19
Vermont,2003,9.94,8.19
Delaware,2003,9.78,8.19
District of Columbia,2003,9.78,8.19
Rhode Island,2003,9.78,8.19
Arkansas,2003,8.19,8.19
Colorado,2003,8.19,8.19
Georgia,2003,8.19,8.19
Idaho,2003,8.19,8.19
Illinois,2003,8.19,8.19
Indiana,2003,8.19,8.19
Iowa,2003,8.19,8.19
Kentucky,2003,8.19,8.19
Maryland,2003,8.19,8.19
Michigan,2003,8.19,8.19
Missouri,2003,8.19,8.19
Nebraska,2003,8.19,8.19
Nevada,2003,8.19,8.19
New Hampshire,2003,8.19,8.19
New Jersey,2003,8.19,8.19
New York,2003,8.19,8.19
North Carolina,2003,8.19,8.19
North Dakota,2003,8.19,8.19
Pennsylvania,2003,8.19,8.19
South Dakota,2003,8.19,8.19
Texas,2003,8.19,8.19
Utah,2003,8.19,8.19
Virginia,2003,8.19,8.19
West Virginia,2003,8.19,8.19
Wisconsin,2003,8.19,8.19
Wyoming,2003,8.19,8.19
Minnesota,2003,7.79,8.19
New Mexico,2003,6.75,8.19
Montana,2003,6.36,8.19
Puerto Rico,2003,5.73,8.19
Ohio,2003,4.46,8.19
Kansas,2003,4.22,8.19
Oklahoma,2003,3.18,8.19
Arizona,2003,0.00,8.19
Alabama,2003,0.00,8.19
Florida,2003,0.00,8.19
Louisiana,2003,0.00,8.19
Mississippi,2003,0.00,8.19
South Carolina,2003,0.00,8.19
Tennessee,2003,0.00,8.19
Washington,2004,11.08,7.97
Alaska,2004,11.07,7.97
Connecticut,2004,10.99,7.97
Oregon,2004,10.91,7.97
California,2004,10.45,7.97
Massachusetts,2004,10.45,7.97
Rhode Island,2004,10.45,7.97
Vermont,2004,10.45,7.97
Hawaii,2004,9.68,7.97
Maine,2004,9.68,7.97
Delaware,2004,9.52,7.97
District of Columbia,2004,9.52,7.97
Illinois,2004,8.52,7.97
Arkansas,2004,7.97,7.97
Colorado,2004,7.97,7.97
Georgia,2004,7.97,7.97
Idaho,2004,7.97,7.97
Indiana,2004,7.97,7.97
Iowa,2004,7.97,7.97
Kentucky,2004,7.97,7.97
Maryland,2004,7.97,7.97
Michigan,2004,7.97,7.97
Missouri,2004,7.97,7.97
Nebraska,2004,7.97,7.97
Nevada,2004,7.97,7.97
New Hampshire,2004,7.97,7.97
New Jersey,2004,7.97,7.97
New Mexico,2004,7.97,7.97
New York,2004,7.97,7.97
North Carolina,2004,7.97,7.97
North Dakota,2004,7.97,7.97
Pennsylvania,2004,7.97,7.97
South Dakota,2004,7.97,7.97
Texas,2004,7.97,7.97
Utah,2004,7.97,7.97
Virginia,2004,7.97,7.97
West Virginia,2004,7.97,7.97
Wisconsin,2004,7.97,7.97
Wyoming,2004,7.97,7.97
Minnesota,2004,7.59,7.97
Montana,2004,6.20,7.97
Puerto Rico,2004,5.59,7.97
Ohio,2004,4.33,7.97
Kansas,2004,4.11,7.97
Oklahoma,2004,3.10,7.97
Arizona,2004,0.00,7.97
Alabama,2004,0.00,7.97
Florida,2004,0.00,7.97
Louisiana,2004,0.00,7.97
Mississippi,2004,0.00,7.97
South Carolina,2004,0.00,7.97
Tennessee,2004,0.00,7.97
Washington,2005,11.00,7.71
Oregon,2005,10.86,7.71
Alaska,2005,10.71,7.71
Connecticut,2005,10.63,7.71
Vermont,2005,10.48,7.71
California,2005,10.11,7.71
Massachusetts,2005,10.11,7.71
Rhode Island,2005,10.11,7.71
District of Columbia,2005,9.88,7.71
Illinois,2005,9.74,7.71
Maine,2005,9.51,7.71
Hawaii,2005,9.36,7.71
Delaware,2005,9.22,7.71
New York,2005,8.99,7.71
Arkansas,2005,7.71,7.71
Colorado,2005,7.71,7.71
Georgia,2005,7.71,7.71
Idaho,2005,7.71,7.71
Indiana,2005,7.71,7.71
Iowa,2005,7.71,7.71
Kentucky,2005,7.71,7.71
Maryland,2005,7.71,7.71
Michigan,2005,7.71,7.71
Missouri,2005,7.71,7.71
Nebraska,2005,7.71,7.71
Nevada,2005,7.71,7.71
New Hampshire,2005,7.71,7.71
New Jersey,2005,7.71,7.71
New Mexico,2005,7.71,7.71
North Carolina,2005,7.71,7.71
North Dakota,2005,7.71,7.71
Pennsylvania,2005,7.71,7.71
South Dakota,2005,7.71,7.71
Texas,2005,7.71,7.71
Utah,2005,7.71,7.71
Virginia,2005,7.71,7.71
West Virginia,2005,7.71,7.71
Wisconsin,2005,7.71,7.71
Wyoming,2005,7.71,7.71
Minnesota,2005,7.34,7.71
Montana,2005,5.99,7.71
Puerto Rico,2005,5.41,7.71
Ohio,2005,4.20,7.71
Kansas,2005,3.97,7.71
Oklahoma,2005,3.00,7.71
Arizona,2005,0.00,7.71
Alabama,2005,0.00,7.71
Florida,2005,0.00,7.71
Louisiana,2005,0.00,7.71
Mississippi,2005,0.00,7.71
South Carolina,2005,0.00,7.71
Tennessee,2005,0.00,7.71
Washington,2006,11.07,7.48
Oregon,2006,10.88,7.48
Connecticut,2006,10.73,7.48
Vermont,2006,10.52,7.48
Alaska,2006,10.37,7.48
District of Columbia,2006,10.16,7.48
California,2006,9.79,7.48
Hawaii,2006,9.79,7.48
Massachusetts,2006,9.79,7.48
New York,2006,9.79,7.48
Rhode Island,2006,9.79,7.48
Illinois,2006,9.43,7.48
Maine,2006,9.43,7.48
Florida,2006,9.29,7.48
Delaware,2006,8.92,7.48
New Jersey,2006,8.92,7.48
Wisconsin,2006,8.27,7.48
Minnesota,2006,7.62,7.48
Arkansas,2006,7.48,7.48
Colorado,2006,7.48,7.48
Georgia,2006,7.48,7.48
Idaho,2006,7.48,7.48
Indiana,2006,7.48,7.48
Iowa,2006,7.48,7.48
Kentucky,2006,7.48,7.48
Maryland,2006,7.48,7.48
Michigan,2006,7.48,7.48
Missouri,2006,7.48,7.48
Nebraska,2006,7.48,7.48
Nevada,2006,7.48,7.48
New Hampshire,2006,7.48,7.48
New Mexico,2006,7.48,7.48
North Carolina,2006,7.48,7.48
North Dakota,2006,7.48,7.48
Pennsylvania,2006,7.48,7.48
South Dakota,2006,7.48,7.48
Texas,2006,7.48,7.48
Utah,2006,7.48,7.48
Virginia,2006,7.48,7.48
West Virginia,2006,7.48,7.48
Wyoming,2006,7.48,7.48
Montana,2006,5.80,7.48
Puerto Rico,2006,5.24,7.48
Ohio,2006,4.06,7.48
Kansas,2006,3.85,7.48
Oklahoma,2006,2.91,7.48
Arizona,2006,0.00,7.48
Alabama,2006,0.00,7.48
Louisiana,2006,0.00,7.48
Mississippi,2006,0.00,7.48
South Carolina,2006,0.00,7.48
Tennessee,2006,0.00,7.48
Washington,2007,11.19,7.26
Oregon,2007,11.00,7.26
Connecticut,2007,10.79,7.26
Vermont,2007,10.62,7.26
California,2007,10.59,7.26
Illinois,2007,10.59,7.26
Massachusetts,2007,10.59,7.26
Rhode Island,2007,10.44,7.26
Hawaii,2007,10.22,7.26
Alaska,2007,10.09,7.26
New Jersey,2007,10.09,7.26
New York,2007,10.09,7.26
District of Columbia,2007,9.87,7.26
Michigan,2007,9.81,7.26
Colorado,2007,9.67,7.26
Ohio,2007,9.67,7.26
Maine,2007,9.52,7.26
Florida,2007,9.41,7.26
Delaware,2007,9.39,7.26
Missouri,2007,9.17,7.26
Wisconsin,2007,9.17,7.26
Arkansas,2007,8.82,7.26
Pennsylvania,2007,8.82,7.26
Maryland,2007,8.67,7.26
Nevada,2007,8.67,7.26
North Carolina,2007,8.67,7.26
West Virginia,2007,8.26,7.26
Minnesota,2007,7.41,7.26
Georgia,2007,7.26,7.26
Idaho,2007,7.26,7.26
Indiana,2007,7.26,7.26
Iowa,2007,7.26,7.26
Kentucky,2007,7.26,7.26
Nebraska,2007,7.26,7.26
New Hampshire,2007,7.26,7.26
New Mexico,2007,7.26,7.26
North Dakota,2007,7.26,7.26
South Dakota,2007,7.26,7.26
Texas,2007,7.26,7.26
Utah,2007,7.26,7.26
Virginia,2007,7.26,7.26
Wyoming,2007,7.26,7.26
Montana,2007,5.64,7.26
Puerto Rico,2007,5.09,7.26
Kansas,2007,3.74,7.26
Oklahoma,2007,2.83,7.26
Arizona,2007,9.52,7.26
Alabama,2007,0.00,7.26
Louisiana,2007,0.00,7.26
Mississippi,2007,0.00,7.26
South Carolina,2007,0.00,7.26
Tennessee,2007,0.00,7.26
Washington,2008,10.97,7.95
California,2008,10.87,7.95
Massachusetts,2008,10.87,7.95
Oregon,2008,10.80,7.95
Illinois,2008,10.53,7.95
Vermont,2008,10.44,7.95
Connecticut,2008,10.39,7.95
Rhode Island,2008,10.05,7.95
Hawaii,2008,9.85,7.95
Iowa,2008,9.85,7.95
Alaska,2008,9.72,7.95
Delaware,2008,9.72,7.95
Michigan,2008,9.72,7.95
New Jersey,2008,9.72,7.95
New York,2008,9.72,7.95
Pennsylvania,2008,9.72,7.95
Colorado,2008,9.53,7.95
District of Columbia,2008,9.51,7.95
Maine,2008,9.51,7.95
Ohio,2008,9.51,7.95
Florida,2008,9.23,7.95
Missouri,2008,9.04,7.95
West Virginia,2008,8.90,7.95
New Hampshire,2008,8.83,7.95
New Mexico,2008,8.83,7.95
Wisconsin,2008,8.83,7.95
Nevada,2008,8.60,7.95
Arkansas,2008,8.49,7.95
Maryland,2008,8.36,7.95
North Carolina,2008,8.36,7.95
Idaho,2008,7.95,7.95
Indiana,2008,7.95,7.95
Kentucky,2008,7.95,7.95
Nebraska,2008,7.95,7.95
North Dakota,2008,7.95,7.95
South Dakota,2008,7.95,7.95
Texas,2008,7.95,7.95
Utah,2008,7.95,7.95
Virginia,2008,7.95,7.95
Minnesota,2008,7.14,7.95
Georgia,2008,7.00,7.95
Wyoming,2008,7.00,7.95
Montana,2008,5.44,7.95
Puerto Rico,2008,4.91,7.95
Kansas,2008,3.60,7.95
Oklahoma,2008,2.71,7.95
Arizona,2008,9.38,7.95
Alabama,2008,0.00,7.95
Louisiana,2008,0.00,7.95
Mississippi,2008,0.00,7.95
South Carolina,2008,0.00,7.95
Tennessee,2008,0.00,7.95
Washington,2009,11.66,8.93
Oregon,2009,11.46,8.93
Vermont,2009,10.99,8.93
California,2009,10.91,8.93
Connecticut,2009,10.91,8.93
Illinois,2009,10.91,8.93
Massachusetts,2009,10.91,8.93
District of Columbia,2009,10.29,8.93
New Mexico,2009,10.22,8.93
Michigan,2009,10.09,8.93
Rhode Island,2009,10.09,8.93
Ohio,2009,9.95,8.93
Colorado,2009,9.93,8.93
Hawaii,2009,9.88,8.93
Iowa,2009,9.88,8.93
Maine,2009,9.88,8.93
New Hampshire,2009,9.88,8.93
West Virginia,2009,9.88,8.93
Florida,2009,9.83,8.93
Alaska,2009,9.75,8.93
Delaware,2009,9.75,8.93
New Jersey,2009,9.75,8.93
New York,2009,9.75,8.93
Pennsylvania,2009,9.75,8.93
Missouri,2009,9.61,8.93
Idaho,2009,8.93,8.93
Indiana,2009,8.93,8.93
Kentucky,2009,8.93,8.93
Maryland,2009,8.93,8.93
Nebraska,2009,8.93,8.93
Nevada,2009,8.93,8.93
North Carolina,2009,8.93,8.93
North Dakota,2009,8.93,8.93
South Dakota,2009,8.93,8.93
Texas,2009,8.93,8.93
Utah,2009,8.93,8.93
Virginia,2009,8.93,8.93
Wisconsin,2009,8.87,8.93
Arkansas,2009,8.53,8.93
Minnesota,2009,7.16,8.93
Georgia,2009,7.02,8.93
Wyoming,2009,7.02,8.93
Puerto Rico,2009,5.59,8.93
Montana,2009,5.45,8.93
Kansas,2009,3.62,8.93
Oklahoma,2009,2.73,8.93
Alabama,2009,0.00,8.93
Louisiana,2009,0.00,8.93
Mississippi,2009,0.00,8.93
South Carolina,2009,0.00,8.93
Tennessee,2009,0.00,8.93
Arizona,2009,9.88,8.93
Washington,2010,11.47,9.73
Oregon,2010,11.26,9.73
Connecticut,2010,11.07,9.73
District of Columbia,2010,11.07,9.73
Illinois,2010,11.07,9.73
Vermont,2010,10.81,9.73
California,2010,10.73,9.73
Massachusetts,2010,10.73,9.73
Alaska,2010,10.39,9.73
Maine,2010,10.07,9.73
New Mexico,2010,10.07,9.73
Michigan,2010,9.93,9.73
Rhode Island,2010,9.93,9.73
Ohio,2010,9.79,9.73
Delaware,2010,9.73,9.73
Florida,2010,9.73,9.73
Hawaii,2010,9.73,9.73
Idaho,2010,9.73,9.73
Indiana,2010,9.73,9.73
Iowa,2010,9.73,9.73
Kansas,2010,9.73,9.73
Kentucky,2010,9.73,9.73
Maryland,2010,9.73,9.73
Missouri,2010,9.73,9.73
Nebraska,2010,9.73,9.73
New Hampshire,2010,9.73,9.73
New Jersey,2010,9.73,9.73
New York,2010,9.73,9.73
North Carolina,2010,9.73,9.73
North Dakota,2010,9.73,9.73
Pennsylvania,2010,9.73,9.73
South Dakota,2010,9.73,9.73
Texas,2010,9.73,9.73
Utah,2010,9.73,9.73
Virginia,2010,9.73,9.73
West Virginia,2010,9.73,9.73
Wisconsin,2010,9.73,9.73
Colorado,2010,9.72,9.73
Nevada,2010,8.79,9.73
Arkansas,2010,8.38,9.73
Minnesota,2010,7.05,9.73
Georgia,2010,6.91,9.73
Wyoming,2010,6.91,9.73
Montana,2010,5.36,9.73
Oklahoma,2010,2.68,9.73
Alabama,2010,0.00,9.73
Louisiana,2010,0.00,9.73
Mississippi,2010,0.00,9.73
Puerto Rico,2010,0.00,9.73
South Carolina,2010,0.00,9.73
Tennessee,2010,0.00,9.73
Arizona,2010,9.73,9.73
Washington,2011,11.28,9.43
Oregon,2011,11.05,9.43
Connecticut,2011,10.73,9.43
District of Columbia,2011,10.73,9.43
Illinois,2011,10.73,9.43
Vermont,2011,10.60,9.43
California,2011,10.41,9.43
Massachusetts,2011,10.41,9.43
Alaska,2011,10.08,9.43
Maine,2011,9.75,9.43
New Mexico,2011,9.75,9.43
Michigan,2011,9.62,9.43
Ohio,2011,9.62,9.43
Rhode Island,2011,9.62,9.43
Colorado,2011,9.57,9.43
Delaware,2011,9.43,9.43
Florida,2011,9.43,9.43
Hawaii,2011,9.43,9.43
Idaho,2011,9.43,9.43
Indiana,2011,9.43,9.43
Iowa,2011,9.43,9.43
Kansas,2011,9.43,9.43
Kentucky,2011,9.43,9.43
Maryland,2011,9.43,9.43
Missouri,2011,9.43,9.43
Nebraska,2011,9.43,9.43
Nevada,2011,9.43,9.43
New Hampshire,2011,9.43,9.43
New Jersey,2011,9.43,9.43
New York,2011,9.43,9.43
North Carolina,2011,9.43,9.43
North Dakota,2011,9.43,9.43
Pennsylvania,2011,9.43,9.43
South Dakota,2011,9.43,9.43
Texas,2011,9.43,9.43
Utah,2011,9.43,9.43
Virginia,2011,9.43,9.43
West Virginia,2011,9.43,9.43
Wisconsin,2011,9.43,9.43
Arkansas,2011,8.13,9.43
Minnesota,2011,6.83,9.43
Georgia,2011,6.70,9.43
Wyoming,2011,6.70,9.43
